task_id,task_type,machine_model,machine_age_years,operator_id,operator_skill,site_zone,target_volume_tons,weather,ambient_temp_c,ground_saturation_pct,visibility_level,slope_deg,truck_arrival_interval_min,queue_length,cycle_time_sec,payload_tons,engine_load_pct,idle_minutes,task_duration_minutes,fuel_litres,shift_status,data_origin
T-SYN-0242,OVERBURDEN,CAT-349D,5.8,OP1007,INTERMEDIATE,RAMP_3_SOUTH,855.0,CLEAR,31.8,13.5,EXCELLENT,6.4,18.3,4,28.2,27.8,75.6,31.0,44.6,15.2,COMPLETED,SYNTHETIC
T-SYN-0274,EXCAVATION,CAT-349D,6.2,OP1021,NOVICE,BENCH_3_UPPER,534.0,RAIN,18.5,24.3,MODERATE,2.5,7.2,1,37.7,26.5,83.5,2.9,21.4,12.1,IN_PROGRESS,SYNTHETIC
T-SYN-0042,TRENCHING,CAT-349D,2.6,OP1021,EXPERT,BENCH_2_WEST,999.0,CLEAR,24.1,12.2,EXCELLENT,5.3,5.1,1,32.0,22.9,75.3,7.1,31.9,15.7,COMPLETED,SYNTHETIC
T-SYN-0234,TRENCHING,CAT-349D,6.1,OP1009,INTERMEDIATE,STOCKPILE_1,993.0,CLEAR,23.3,14.3,EXCELLENT,1.1,3.9,0,34.5,24.8,72.4,4.8,31.3,16.4,COMPLETED,SYNTHETIC
T-SYN-0147,EXCAVATION,CAT-349D,4.6,OP1007,INTERMEDIATE,BENCH_3_UPPER,715.0,OVERCAST,20.0,19.9,GOOD,0.2,16.3,3,31.3,26.7,74.4,24.2,38.8,14.1,COMPLETED,SYNTHETIC
T-SYN-0007,TRENCHING,CAT-349D,1.2,OP1009,NOVICE,RAMP_3_SOUTH,867.0,MUD,16.2,40.3,POOR,3.9,5.3,2,45.7,25.4,84.3,6.0,56.7,30.2,IN_PROGRESS,SYNTHETIC
T-SYN-0108,TRENCHING,CAT-349D,0.9,OP1020,INTERMEDIATE,RAMP_3_SOUTH,850.0,CLEAR,24.8,14.5,EXCELLENT,0.4,7.0,0,33.6,23.8,72.7,6.7,29.1,14.5,COMPLETED,SYNTHETIC
T-SYN-0265,EXCAVATION,CAT-349D,1.9,OP1001,INTERMEDIATE,BENCH_3_UPPER,440.0,CLEAR,20.4,9.7,EXCELLENT,14.5,7.1,1,32.7,24.2,83.3,4.0,14.8,8.1,IN_PROGRESS,SYNTHETIC
T-RAW-020,OVERBURDEN,CAT-349D,3.5,OP1001,INTERMEDIATE,BENCH_3_UPPER,780.0,RAIN,17.0,27.0,MODERATE,4.0,10.0,2,28.0,24.5,70.0,26.0,230.0,182.0,COMPLETED,SOURCE
T-SYN-0235,LOADING,CAT-349D,5.2,OP1009,MASTER,RAMP_3_SOUTH,1304.0,RAIN,18.9,35.1,MODERATE,6.1,19.3,3,25.1,28.3,92.4,25.2,43.9,16.4,COMPLETED,SYNTHETIC
T-SYN-0172,GRADING,CAT-D8T,1.1,OP1010,EXPERT,BENCH_3_UPPER,626.0,MUD,16.2,48.5,POOR,5.0,3.9,1,39.5,20.1,84.1,6.1,40.7,13.7,IN_PROGRESS,SYNTHETIC
T-SYN-0271,LOADING,CAT-349D,6.7,OP1024,NOVICE,ZONE_4_NORTH,1552.0,RAIN,14.3,36.5,MODERATE,4.0,5.4,1,36.7,25.3,93.9,10.5,63.7,39.6,COMPLETED,SYNTHETIC
T-SYN-0195,LOADING,CAT-349D,1.5,OP1018,EXPERT,RAMP_3_SOUTH,1321.0,OVERCAST,23.2,11.0,GOOD,0.1,6.9,1,19.2,26.0,83.0,2.5,12.9,7.1,COMPLETED,SYNTHETIC
T-SYN-0027,OVERBURDEN,CAT-349D,5.4,OP1001,NOVICE,ZONE_4_NORTH,1449.0,CLEAR,27.3,13.0,EXCELLENT,1.2,19.8,6,29.9,28.0,81.2,44.9,70.6,28.1,COMPLETED,SYNTHETIC
T-SYN-0277,EXCAVATION,CAT-349D,3.9,OP1012,INTERMEDIATE,STOCKPILE_2,627.0,OVERCAST,16.2,18.4,GOOD,9.0,5.6,0,34.3,23.4,79.2,6.5,24.0,12.6,IN_PROGRESS,SYNTHETIC
T-SYN-0174,EXCAVATION,CAT-349D,5.7,OP1018,EXPERT,STOCKPILE_2,670.0,MUD,14.3,51.7,POOR,1.4,6.9,0,35.7,25.3,83.3,6.0,30.0,13.1,COMPLETED,SYNTHETIC
