task_id,task_type,machine_model,machine_age_years,operator_id,operator_skill,site_zone,target_volume_tons,weather,ambient_temp_c,ground_saturation_pct,visibility_level,slope_deg,truck_arrival_interval_min,queue_length,cycle_time_sec,payload_tons,engine_load_pct,idle_minutes,task_duration_minutes,fuel_litres,shift_status,data_origin
T-RAW-001,EXCAVATION,CAT-349D,3.5,OP1001,INTERMEDIATE,ZONE_4_NORTH,500.0,CLEAR,24.0,12.0,GOOD,4.0,6.5,1,28.0,24.5,72.0,18.0,172.0,142.5,COMPLETED,SOURCE
T-RAW-002,TRENCHING,CAT-349D,3.5,OP1001,INTERMEDIATE,BENCH_2_WEST,850.0,RAIN,18.0,28.0,MODERATE,7.5,14.0,4,34.0,22.0,68.0,42.0,285.0,215.0,IN_PROGRESS,SOURCE
T-RAW-003,LOADING,CAT-349D,4.0,OP1002,EXPERT,STOCKPILE_1,1200.0,CLEAR,26.0,8.0,EXCELLENT,1.5,4.0,2,22.5,27.0,81.0,12.0,265.0,230.0,COMPLETED,SOURCE
T-RAW-004,GRADING,CAT-D8T,5.0,OP1003,NOVICE,HAUL_ROAD_EAST,400.0,OVERCAST,20.0,16.0,GOOD,6.0,8.0,0,31.0,18.0,65.0,25.0,195.0,135.0,COMPLETED,SOURCE
T-RAW-005,OVERBURDEN,CAT-349D,2.0,OP1004,MASTER,BENCH_3_UPPER,750.0,CLEAR,22.0,10.0,GOOD,3.0,5.0,1,24.0,26.0,78.0,10.0,190.0,162.0,COMPLETED,SOURCE
T-RAW-006,EXCAVATION,CAT-349D,3.5,OP1001,INTERMEDIATE,ZONE_4_NORTH,620.0,CLEAR,25.0,11.0,GOOD,4.5,7.0,2,29.0,24.0,70.0,22.0,210.0,171.0,COMPLETED,SOURCE
T-RAW-007,TRENCHING,CAT-349D,6.0,OP1005,NOVICE,BENCH_2_WEST,500.0,MUD,17.0,34.0,MODERATE,9.0,16.0,3,38.0,20.5,62.0,48.0,240.0,178.0,COMPLETED,SOURCE
T-RAW-008,LOADING,CAT-349D,2.0,OP1002,EXPERT,STOCKPILE_2,1400.0,CLEAR,27.0,7.0,EXCELLENT,1.0,3.8,1,21.5,28.0,84.0,10.0,290.0,255.0,COMPLETED,SOURCE
T-RAW-009,GRADING,CAT-D8T,4.5,OP1003,INTERMEDIATE,RAMP_3_SOUTH,450.0,RAIN,19.0,25.0,POOR,8.5,11.0,1,33.0,19.0,69.0,30.0,225.0,160.0,COMPLETED,SOURCE
T-RAW-010,OVERBURDEN,CAT-349D,3.0,OP1004,MASTER,BENCH_3_UPPER,900.0,OVERCAST,21.0,14.0,GOOD,3.5,5.5,1,25.0,25.5,76.0,14.0,220.0,188.0,COMPLETED,SOURCE
T-RAW-011,EXCAVATION,CAT-349D,5.0,OP1006,INTERMEDIATE,ZONE_5_EAST,700.0,CLEAR,23.0,13.0,GOOD,5.0,6.0,2,27.5,25.0,73.0,20.0,228.0,185.0,COMPLETED,SOURCE
T-RAW-012,TRENCHING,CAT-349D,3.5,OP1001,INTERMEDIATE,BENCH_2_WEST,800.0,CLEAR,24.0,15.0,GOOD,7.0,7.5,2,30.0,23.5,71.0,24.0,245.0,196.0,COMPLETED,SOURCE
T-RAW-013,LOADING,CAT-349D,4.0,OP1002,EXPERT,STOCKPILE_1,1100.0,OVERCAST,22.0,12.0,GOOD,1.5,4.2,2,23.0,26.5,80.0,14.0,250.0,218.0,COMPLETED,SOURCE
T-RAW-014,GRADING,CAT-D8T,7.0,OP1007,NOVICE,BENCH_1_ACCESS,350.0,CLEAR,26.0,9.0,EXCELLENT,5.0,8.5,0,32.0,17.5,63.0,28.0,180.0,122.0,COMPLETED,SOURCE
T-RAW-015,OVERBURDEN,CAT-349D,2.0,OP1004,MASTER,BENCH_3_UPPER,820.0,CLEAR,23.0,9.0,GOOD,2.5,4.8,1,23.5,26.5,79.0,9.0,198.0,170.0,COMPLETED,SOURCE
T-RAW-016,EXCAVATION,CAT-349D,3.0,OP1008,EXPERT,ZONE_4_NORTH,580.0,RAIN,18.0,29.0,MODERATE,5.5,12.0,3,32.5,23.0,67.0,38.0,225.0,172.0,COMPLETED,SOURCE
T-RAW-017,TRENCHING,CAT-349D,4.5,OP1005,NOVICE,BENCH_2_WEST,650.0,OVERCAST,20.0,18.0,GOOD,8.0,9.0,2,33.0,21.5,66.0,32.0,235.0,179.0,COMPLETED,SOURCE
T-RAW-018,LOADING,CAT-349D,2.5,OP1009,INTERMEDIATE,STOCKPILE_2,1300.0,CLEAR,25.0,8.0,GOOD,1.2,4.5,2,24.0,26.0,77.0,18.0,295.0,242.0,COMPLETED,SOURCE
T-RAW-019,GRADING,CAT-D8T,5.0,OP1003,INTERMEDIATE,HAUL_ROAD_EAST,520.0,CLEAR,24.0,10.0,EXCELLENT,4.0,7.0,0,29.0,19.5,71.0,22.0,215.0,154.0,COMPLETED,SOURCE
T-RAW-020,OVERBURDEN,CAT-349D,3.5,OP1001,INTERMEDIATE,BENCH_3_UPPER,780.0,RAIN,17.0,27.0,MODERATE,4.0,10.0,2,28.0,24.5,70.0,26.0,230.0,182.0,COMPLETED,SOURCE
