task_id,task_type,machine_model,machine_age_years,operator_id,operator_skill,site_zone,target_volume_tons,weather,ambient_temp_c,ground_saturation_pct,visibility_level,slope_deg,truck_arrival_interval_min,queue_length,cycle_time_sec,payload_tons,engine_load_pct,idle_minutes,task_duration_minutes,fuel_litres,shift_status,data_origin
T-SYN-0001,GRADING,CAT-D8T,3.8,OP1003,EXPERT,HAUL_ROAD_EAST,364.0,CLEAR,31.7,12.6,EXCELLENT,10.9,5.0,0,32.1,20.0,78.7,2.8,13.2,5.1,COMPLETED,SYNTHETIC
T-SYN-0002,LOADING,CAT-349D,1.0,OP1007,EXPERT,HAUL_ROAD_EAST,1378.0,RAIN,16.1,37.6,MODERATE,4.3,16.1,4,28.8,26.8,95.0,33.8,61.3,24.5,COMPLETED,SYNTHETIC
T-SYN-0003,TRENCHING,CAT-349D,3.3,OP1020,INTERMEDIATE,BENCH_2_WEST,662.0,CLEAR,25.7,7.3,EXCELLENT,1.0,6.3,0,30.8,26.4,70.3,3.5,16.7,8.2,IN_PROGRESS,SYNTHETIC
T-SYN-0004,LOADING,CAT-349D,1.5,OP1020,NOVICE,ZONE_4_NORTH,1059.0,RAIN,18.0,33.9,MODERATE,2.0,4.1,0,31.5,27.7,86.6,6.9,31.3,17.3,COMPLETED,SYNTHETIC
T-SYN-0005,LOADING,CAT-349D,4.7,OP1020,INTERMEDIATE,STOCKPILE_1,1453.0,CLEAR,25.2,7.1,EXCELLENT,5.3,3.7,2,23.9,27.2,84.3,6.3,23.3,12.8,IN_PROGRESS,SYNTHETIC
T-SYN-0006,LOADING,CAT-349D,3.5,OP1008,EXPERT,BENCH_2_WEST,761.0,CLEAR,21.1,12.2,EXCELLENT,1.6,4.1,1,21.6,25.8,82.9,4.6,12.2,5.8,COMPLETED,SYNTHETIC
T-SYN-0007,TRENCHING,CAT-349D,1.2,OP1009,NOVICE,RAMP_3_SOUTH,867.0,MUD,16.2,40.3,POOR,3.9,5.3,2,45.7,25.4,84.3,6.0,56.7,30.2,IN_PROGRESS,SYNTHETIC
T-SYN-0008,TRENCHING,CAT-349D,4.8,OP1012,NOVICE,BENCH_3_UPPER,750.0,RAIN,18.3,30.0,MODERATE,0.6,3.8,2,43.4,28.4,78.6,4.5,36.6,19.8,IN_PROGRESS,SYNTHETIC
T-SYN-0009,EXCAVATION,CAT-349D,4.9,OP1008,NOVICE,RAMP_3_SOUTH,779.0,OVERCAST,18.8,15.9,GOOD,0.3,6.6,0,37.6,31.2,75.0,5.8,25.4,14.0,COMPLETED,SYNTHETIC
T-SYN-0010,TRENCHING,CAT-349D,2.5,OP1014,INTERMEDIATE,STOCKPILE_2,484.0,OVERCAST,16.2,18.3,GOOD,8.8,3.9,1,38.0,29.2,79.9,2.6,15.9,9.1,COMPLETED,SYNTHETIC
T-SYN-0011,OVERBURDEN,CAT-349D,2.2,OP1004,NOVICE,STOCKPILE_2,1553.0,CLEAR,30.0,13.1,EXCELLENT,2.7,5.6,2,29.3,26.8,78.0,5.9,33.5,20.0,IN_PROGRESS,SYNTHETIC
T-SYN-0012,OVERBURDEN,CAT-349D,7.2,OP1021,EXPERT,RAMP_3_SOUTH,1262.0,MUD,15.1,41.3,POOR,7.9,3.9,2,32.8,23.8,88.3,3.6,44.2,21.9,COMPLETED,SYNTHETIC
T-SYN-0013,GRADING,CAT-D8T,1.6,OP1009,NOVICE,HAUL_ROAD_EAST,786.0,MUD,13.2,41.2,POOR,1.6,4.1,2,46.0,18.2,80.2,6.7,71.7,26.9,COMPLETED,SYNTHETIC
T-SYN-0014,LOADING,CAT-349D,5.7,OP1011,INTERMEDIATE,BENCH_2_WEST,724.0,RAIN,18.3,34.3,MODERATE,1.3,5.1,2,30.2,27.0,93.7,3.5,19.3,11.0,IN_PROGRESS,SYNTHETIC
T-SYN-0015,OVERBURDEN,CAT-349D,0.7,OP1004,INTERMEDIATE,HAUL_ROAD_EAST,1196.0,CLEAR,21.7,9.2,EXCELLENT,7.1,6.7,1,26.1,26.6,84.5,6.5,23.5,13.0,IN_PROGRESS,SYNTHETIC
T-SYN-0016,GRADING,CAT-D8T,2.2,OP1019,INTERMEDIATE,HAUL_ROAD_EAST,513.0,MUD,15.6,43.3,POOR,1.8,7.0,0,42.3,15.7,76.7,7.7,49.3,16.1,IN_PROGRESS,SYNTHETIC
